,Power,Age,Engine,Manual,toyota,mercedes-benz,Diesel,Kilometers_Driven
374,0.3270695784662265,0.3846153846153847,0.3683101559207754,1,0,0,1,0.5018300683685918
2204,0.20213306246825802,0.46153846153846156,0.26295828065739574,1,0,0,1,0.5571694942565778
1321,0.26206196038598273,0.3846153846153847,0.24146649810366622,1,0,0,0,0.44282283250078647
704,0.18181818181818182,0.3846153846153847,0.20901812052254526,1,0,0,1,0.38775964334768226
3241,0.20162519045200616,0.6153846153846154,0.26295828065739574,1,0,0,1,0.622752699063097
2617,0.18181818181818182,0.23076923076923078,0.20901812052254526,1,0,0,1,0.43909363657988226
3421,0.1719146775012697,0.6153846153846154,0.19469026548672563,1,0,0,0,0.4097511567413273
1376,0.44235652615540894,0.23076923076923078,0.4075010535187526,1,0,0,0,0.18221649286772096
2102,0.1719146775012697,0.7692307692307693,0.19469026548672563,1,0,0,0,0.45579061255495956
690,0.34433722701879127,0.3846153846153847,0.78803202697008,1,1,0,1,0.9008386854200716
2898,0.09700355510411374,0.23076923076923078,0.07374631268436577,1,0,0,0,0.06103297192360519
365,0.20721178263077705,0.0,0.1580278128950695,1,0,0,0,0.003069297054242151
1335,0.3270695784662265,0.46153846153846156,0.3683101559207754,1,0,0,1,0.2990646317227197
2103,0.18181818181818182,0.5384615384615384,0.32911925832279815,1,0,0,1,0.38000199504308524
3440,0.2825799898425597,0.46153846153846156,0.3683101559207754,1,0,0,1,0.703252687553233
3170,0.09547993905535807,0.15384615384615385,0.07374631268436577,1,0,0,0,0.08747496604590133
1166,0.26206196038598273,0.3846153846153847,0.24146649810366622,1,0,0,0,0.18722712030877126
2791,0.23260538344337228,0.46153846153846156,0.24146649810366622,1,0,0,0,0.4481173699193542
1686,0.20213306246825802,0.15384615384615385,0.26295828065739574,1,0,0,1,0.17955387767316588
840,0.16678517013712552,0.07692307692307693,0.157606405394016,1,0,0,0,0.23630518020610328
2676,0.44235652615540894,0.46153846153846156,0.4075010535187526,0,0,0,0,0.2799659308026979
23,0.19705434230573898,0.3846153846153847,0.24104509060261275,1,0,0,0,0.2614197033524397
3217,0.24189944134078212,0.3076923076923077,0.24146649810366622,1,0,0,0,0.267343446667127
1295,0.5373285931945151,0.3846153846153847,0.6552886641382216,1,0,0,1,0.23326657612240354
