,Price
374,5700.0
2204,5200.0
1321,5390.0
704,4720.0
3241,4390.0
2617,5500.0
3421,2200.0
1376,11000.0
2102,1900.0
690,10750.0
2898,3200.0
365,5680.0
1335,3250.0
2103,1900.0
3440,5750.0
3170,3100.0
1166,3500.0
2791,4100.0
1686,8400.0
840,5530.0
2676,5440.0
23,2900.0
3217,6870.0
1295,9500.0
2641,2800.0
3980,2250.0
1962,1300.0
2074,12900.0
3724,5400.0
2327,5950.0
2574,8630.0
3572,1650.0
1158,11500.0
3656,5470.0
3055,1400.0
167,7410.0
53,8000.0
354,3750.0
3491,1000.0
3755,13000.0
342,4280.0
859,5750.0
3367,4150.0
43,2590.0
1658,1790.0
3222,16500.0
1052,5720.0
32,7210.0
455,1890.0
2470,3560.0
1172,2400.0
216,8300.0
547,4000.0
1708,7070.0
660,2650.0
1767,18000.0
2368,3700.0
3884,5390.0
651,2600.0
3149,3000.0
2530,8950.0
1388,3250.0
753,1800.0
1671,6170.0
513,3250.0
1097,8700.0
116,5500.0
2306,3960.0
2488,7400.0
1095,4900.0
2753,2800.0
2046,6690.0
3007,3000.0
1297,8200.0
1184,1850.0
622,9460.0
2067,6300.0
2843,2250.0
2311,9450.0
3979,4000.0
2801,11450.0
3103,6750.0
3112,4150.0
826,5500.0
1492,6200.0
2601,2440.0
2560,3000.0
3643,3800.0
3701,3650.0
3285,5750.0
1212,6000.0
1871,6110.0
3192,8380.0
1695,6850.0
3995,14850.0
846,6040.0
808,2420.0
1460,4250.0
1655,5890.0
3616,2500.0
2371,2500.0
1931,5490.0
1228,10770.0
1205,4950.0
3756,4750.0
566,11000.0
3291,5210.0
2309,2850.0
1123,5250.0
2004,4500.0
754,4500.0
2849,2850.0
1893,2600.0
3664,7050.0
175,13230.0
615,5250.0
3571,3700.0
3550,2600.0
1637,18060.0
1532,6500.0
3389,5700.0
718,3800.0
3959,5790.0
2922,3700.0
1049,3960.0
3707,2750.0
2503,16100.000000000002
3274,6220.0
61,7900.0
1125,3500.0
3195,8750.0
1153,5500.0
2421,3000.0
1162,3200.0
1292,3000.0
1894,16500.0
3059,7870.0
2618,3890.0
310,4800.0
3694,9500.0
2480,7750.0
3294,2250.0
2098,6760.0
1990,690.0
293,8890.0
1737,5250.0
140,12500.0
778,2000.0
819,4940.0
3371,17020.0
764,19000.0
3174,5270.0
2913,13900.0
900,3250.0
2736,2650.0
3220,3250.0
3926,1500.0
3303,9180.0
3393,1900.0
1266,7940.0
739,7750.0
653,12000.0
1251,6850.0
618,7200.0
3809,6000.0
3954,4250.0
3527,8900.0
971,6200.0
1422,16520.0
3474,6950.0
1234,1750.0
1538,3450.0
2400,1900.0
36,8610.0
1235,2900.0
487,8250.0
3320,14350.0
2199,7500.0
782,4500.0
3151,8020.0
3388,11730.0
1291,2350.0
1972,2000.0
309,8900.0
3928,6860.0
1733,13250.0
336,8500.0
2472,3900.0
149,6000.0
3837,2100.0
3957,4250.0
2767,8920.0
2060,3450.0
2273,17750.0
3626,3110.0
3648,11570.0
2352,11000.0
873,9900.0
659,13370.0
1371,17740.0
2462,6580.0
3416,5530.0
3629,9000.0
3305,15650.0
2818,5000.0
288,2000.0
3738,4850.0
2671,4400.0
3714,4350.0
37,2500.0
1408,7850.0
2745,5750.0
3772,6500.0
1763,8250.0
1347,11500.0
1157,2750.0
3956,12130.0
2159,3050.0
1060,3400.0
2607,7850.0
69,8500.0
1872,2300.0
1477,6200.0
3668,2850.0
352,9960.0
3049,6950.0
1838,1800.0
1372,10500.0
2466,2550.0
1240,2650.0
1859,4200.0
445,3200.0
2739,14500.0
2918,1500.0
1156,5750.0
630,3470.0
3733,11500.0
2795,3250.0
3109,3400.0
574,2000.0
2065,3250.0
3230,4750.0
3777,3000.0
3199,2870.0
286,4400.0
2889,3850.0
2469,6440.0
1819,9750.0
3470,7100.0
3981,4400.0
1418,16500.0
3805,7090.0
1800,5750.0
1481,4950.0
3513,4330.0
1213,6900.0
3247,13500.0
2374,5680.0
2655,13350.0
2923,10950.0
3333,7750.0
1186,1600.0
929,6450.0
353,6990.0
1596,14700.0
495,3460.0
3239,7000.0
809,4750.0
3441,6500.0
3361,2450.0
2909,6580.0
3658,8950.0
1314,1200.0
1636,18390.0
1348,6510.0
3972,6750.0
1342,10490.0
1191,3900.0
3412,3820.0
1428,18980.0
3996,6700.0
3799,4250.0
1806,6450.0
1935,13000.0
914,19500.0
1920,8500.0
3583,3750.0
1225,3410.0
2170,3500.0
1001,1700.0
1055,2950.0
2089,6250.0
3727,11500.0
303,4500.0
650,6630.0
2008,990.0
860,1200.0
503,11850.0
2778,3390.0
2270,7250.0
2414,2250.0
3702,3750.0
3286,18500.0
3248,17750.0
3549,12500.0
3229,9250.0
28,1650.0
864,4750.0
369,6950.0
2573,2990.0
1354,1500.0
1787,1500.0
3585,6800.0
1113,5490.0
24,12000.0
652,10440.0
2908,8900.0
4015,6580.0
614,3450.0
1223,5000.0
1997,6100.0
2094,6500.0
2295,9750.0
3167,3300.0
331,5850.0
3017,18250.0
1773,2500.0
1866,2900.0
1712,1600.0
3605,16500.0
2075,2650.0
2312,2350.0
1026,15000.0
3336,4500.0
2717,12250.0
414,4940.0
1687,5800.0
1704,14950.0
425,3000.0
1209,5450.0
1103,3080.0
1462,4250.0
1640,5210.0
338,5350.0
3166,3200.0
51,4400.0
2563,7000.0
964,1250.0
1248,3250.0
1459,6980.0
506,1950.0
1150,7210.0
194,1250.0
3434,3710.0
3262,2100.0
3198,9250.0
2611,2100.0
656,1750.0
762,1800.0
150,4640.0
899,1450.0
3713,6750.0
1238,4400.0
161,3500.0
1598,2400.0
543,8410.0
1004,4740.0
2284,9900.0
507,6250.0
2134,7530.0
2200,4900.0
35,6250.0
3719,4690.0
2348,9950.0
862,2250.0
287,3200.0
122,3000.0
248,3900.0
2080,2800.0
3473,4850.0
3028,3250.0
970,1400.0
476,16900.0
3830,8310.0
3787,7200.0
2443,4200.0
224,9750.0
3231,7270.0
3060,4700.0
3519,10310.0
396,3830.0
1373,1500.0
1145,3750.0
2870,16000.0
2529,6290.0
542,4500.0
3578,10250.0
1632,2650.0
685,1750.0
734,5840.0
1774,3850.0
42,9250.0
3129,5000.0
780,6100.0
210,4500.0
263,3950.0
1762,17500.0
3842,4250.0
1691,6950.0
2494,8500.0
1016,4250.0
1630,3300.0
3258,5650.0
2395,5250.0
2768,5000.0
1507,7500.0
1256,4950.0
2162,13500.0
3530,5290.0
969,7500.0
3505,8490.0
3069,2250.0
1535,1300.0
761,8250.0
3090,6200.0
3716,1870.0
3425,4000.0
3123,2500.0
3693,4500.0
1521,2740.0
492,4490.0
4009,4250.0
3754,14520.0
1694,2850.0
3446,3350.0
1275,2750.0
280,7250.0
89,6000.0
881,11000.0
1725,6670.0
2821,3100.0
2237,4570.0
2557,4740.0
2635,6900.0
273,12500.0
2888,2000.0
2375,2350.0
3296,13500.0
535,5050.0
130,3750.0
2701,6250.0
381,8150.0
1517,12000.0
1277,5380.0
2181,3500.0
1082,4100.0
2930,5250.0
1146,14000.0
1828,2950.0
590,4800.0
1771,2500.0
1642,2750.0
1619,8780.0
486,5850.0
2924,3400.0
4010,5800.0
1086,16770.0
2481,19500.0
308,17250.0
2770,4500.0
3660,4100.0
225,1900.0
3632,12500.0
2606,5850.0
3533,3250.0
3740,4250.0
1392,3100.0
19,6250.0
3732,3500.0
719,5700.0
2853,6350.0
168,6990.0
2831,4200.0
452,5750.0
1396,5400.0
1926,13500.0
1193,4770.0
2521,6500.0
2991,5500.0
3661,3300.0
2592,9180.0
713,5900.0
674,2300.0
3721,12750.0
2668,1590.0
2250,8250.0
2097,4260.0
1648,7580.0
2787,6500.0
2852,4900.0
2990,6200.0
925,7650.0
3672,5950.0
488,4500.0
2431,4000.0
1075,10750.0
640,3250.0
3994,2250.0
217,1250.0
1564,10400.0
3852,16360.0
2301,6600.0
2061,4250.0
3801,4800.0
2054,5100.0
406,3870.0
800,4250.0
3990,6300.0
1904,3200.0
2499,7150.0
3351,11860.0
1666,5950.0
1417,5000.0
531,4650.0
1588,8000.0
2354,2850.0
2300,6400.0
